"","Edu_lowerthanhigh.CLSC_code","Edu_lowerthanhigh.Nom","Edu_lowerthanhigh.Den","Edu_lowerthanhigh.Year"
"1",1111,5870,18310,2006
"2",1121,7535,27455,2006
"3",1131,7180,17905,2006
"4",1141,2855,7855,2006
"5",1151,9655,44470,2006
"6",1161,5475,15805,2006
"7",1171,6620,18885,2006
"8",1181,5580,15755,2006
"9",2111,7780,26270,2006
"10",2121,7545,22015,4012
"11",2131,11225,41600,26078
"12",2141,11870,51930,36108
"13",2151,13465,61325,40120
"14",2161,5330,19010,18054
"15",3111,10280,38565,2006
"16",3121,6135,48890,32096
"17",3122,4750,28200,60180
"18",3123,5530,57640,30090
"19",3124,2995,33015,22066
"20",3125,6550,23450,32096
"21",3126,13535,50045,38114
"22",3131,11815,59580,42126
"23",3132,11720,66305,50150
"24",3133,13095,63775,36108
"25",3134,5805,24815,4012
"26",3141,3660,11195,2006
"27",3142,4525,13940,2006
"28",4111,4580,12450,2006
"29",4121,3850,10915,2006
"30",4122,2540,9930,18054
"31",4131,7560,19625,24072
"32",4141,15690,54730,12036
"33",4151,14900,69805,46138
"34",4152,9450,38515,20060
"35",4161,5985,18520,2006
"36",4162,4390,15440,2006
"37",4171,21960,75065,2006
"38",4181,17090,53640,2006
"39",4182,6615,18810,2006
"40",5111,11940,40610,44132
"41",5121,20265,71145,4012
"42",5131,10470,37740,2006
"43",5141,4990,14580,2006
"44",5151,26155,120080,2006
"45",5161,7060,23580,2006
"46",5171,3785,11935,2006
"47",5181,6395,17580,2006
"48",5191,7690,18510,2006
"49",6111,6810,63720,12036
"50",6112,10420,65070,36108
"51",6113,5380,39525,2006
"52",6121,10885,49065,24072
"53",6122,13545,54570,34102
"54",6211,5850,39810,8024
"55",6212,6890,52530,34102
"56",6221,10140,24410,12036
"57",6222,3365,34620,20060
"58",6223,3975,23600,40120
"59",6224,5485,44140,58174
"60",6225,3095,48885,26078
"61",6311,4965,20960,22066
"62",6312,8050,25810,16048
"63",6313,11285,47245,36108
"64",6314,3900,11390,10030
"65",6321,5090,33455,36108
"66",6322,5280,45385,54162
"67",6323,6385,30505,44132
"68",6324,1365,9115,14042
"69",6411,9215,43205,38114
"70",6412,10645,52525,28084
"71",6421,13425,64835,42126
"72",6422,23975,67765,36108
"73",6431,11955,51070,52156
"74",6432,8275,40430,52156
"75",6511,16995,43920,28084
"76",6512,18655,59565,40120
"77",6521,11605,38740,20060
"78",6522,6205,26580,14042
"79",6523,12380,43915,24072
"80",6524,9400,34705,22066
"81",6531,14240,63115,42126
"82",6532,8810,34800,20060
"83",6533,11585,40765,40120
"84",7111,6070,16265,4012
"85",7121,6995,17240,2006
"86",7131,4795,21140,20060
"87",7151,3100,9420,20060
"88",7152,4690,13115,34102
"89",8111,6895,16915,2006
"90",8121,7150,19455,2006
"91",8131,9895,32485,2006
"92",8141,12470,33505,2006
"93",8151,3625,10630,40120
"94",8152,895,2770,6018
"95",9111,615,2680,6018
"96",9121,1695,4595,10030
"97",9122,2155,5485,8024
"98",9123,7945,27130,2006
"99",9131,2035,6185,8024
"100",9141,6090,19060,78234
"101",9151,2135,5120,20060
"102",9161,2465,4295,14042
"103",9171,235,360,2006
"104",10011,420,1145,2006
"105",10012,545,1230,2006
"106",10013,560,2225,2006
"107",10014,2265,7390,4012
"108",11111,4350,12095,2006
"109",11112,5115,15180,2006
"110",11121,4425,10155,16048
"111",11131,960,2320,8024
"112",11132,4890,13405,6018
"113",11133,165,665,2006
"114",11141,6635,14965,18054
"115",11211,4335,11105,2006
"116",12111,7150,22050,2006
"117",12112,7555,46210,28084
"118",12113,7485,37790,24072
"119",12114,8405,27165,2006
"120",12115,5700,21115,20060
"121",12121,11390,36535,2006
"122",12131,5585,15375,2006
"123",12132,13940,40375,2006
"124",12141,5685,14505,2006
"125",12151,6905,19235,2006
"126",12152,6295,15730,2006
"127",13111,14495,70115,42126
"128",13112,8880,41425,28084
"129",13113,16380,71850,36108
"130",13114,16970,70485,68204
"131",14111,14620,41850,2006
"132",14112,12825,34310,2006
"133",14113,13895,48240,2006
"134",14114,11450,33015,2006
"135",14121,25315,101050,2006
"136",14122,21215,89010,2006
"137",15111,10765,29405,2006
"138",15121,10055,36165,2006
"139",15131,5610,31470,2006
"140",15141,8690,24780,2006
"141",15151,18940,70760,4012
"142",15161,26685,91990,6018
"143",15171,24595,111100,2006
"144",16111,17015,96020,14042
"145",16112,14890,56565,30090
"146",16121,11535,44505,16048
"147",16122,24080,87175,26078
"148",16211,15095,54895,34102
"149",16212,11030,47375,24072
"150",16213,15405,86115,4012
"151",16221,13610,80810,24072
"152",16222,20350,65775,2006
"153",16223,4920,12275,2006
"154",16231,12930,42225,2006
"155",16311,19075,94310,2006
"156",16321,14590,45800,10030
"157",16331,6530,18240,2006
"158",16341,12635,50695,12036
"159",16342,15960,72195,14042
"160",16343,7195,19425,2006
"161",17011,2425,3710,14042
"162",17012,1625,2985,14042
"163",18011,5210,9290,18054
