"","Household_type.CLSC_code","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1111,6105,8970,2011
"2",1121,9665,14890,2011
"3",1131,6020,8955,2011
"4",1141,2625,4155,2011
"5",1151,15490,24830,2011
"6",1161,5310,8320,2011
"7",1171,6475,10230,2011
"8",1181,5360,8060,2011
"9",2111,9180,13645,2011
"10",2121,7575,11195,2011
"11",2131,15225,21825,2011
"12",2141,18490,27830,2011
"13",2151,21465,33090,2011
"14",2161,6730,9680,2011
"15",3111,14620,21330,2011
"16",3121,18170,24135,2011
"17",3122,13640,22165,2011
"18",3123,19480,38500,2011
"19",3124,7470,21250,2011
"20",3125,5420,15520,2011
"21",3126,13695,32530,2011
"22",3131,26915,35500,2011
"23",3132,30300,45550,2011
"24",3133,23865,35650,2011
"25",3134,9835,13610,2011
"26",3141,3805,5695,2011
"27",3142,4810,7095,2011
"28",4111,4105,6320,2011
"29",4121,3910,6095,2011
"30",4122,3685,5585,2011
"31",4131,6825,10680,2011
"32",4141,18165,30125,2011
"33",4151,23500,41555,2011
"34",4152,13685,21560,2011
"35",4161,6495,9765,2011
"36",4162,5760,8690,2011
"37",4171,27430,42970,2011
"38",4181,19685,29910,2011
"39",4182,6750,9990,2011
"40",5111,14935,22335,2011
"41",5121,27260,41130,2011
"42",5131,14450,21845,2011
"43",5141,5360,7740,2011
"44",5151,40990,70570,2011
"45",5161,8675,12480,2011
"46",5171,4220,6490,2011
"47",5181,6425,9210,2011
"48",5191,6520,9550,2011
"49",6111,22475,29285,2011
"50",6112,23300,31585,2011
"51",6113,13430,16955,2011
"52",6121,15485,26500,2011
"53",6122,19610,32555,2011
"54",6211,12805,20820,2011
"55",6212,18030,32905,2011
"56",6221,7020,12105,2011
"57",6222,11540,17190,2011
"58",6223,7765,13355,2011
"59",6224,11315,24405,2011
"60",6225,11805,32330,2011
"61",6311,6005,13395,2011
"62",6312,7735,14825,2011
"63",6313,16885,32660,2011
"64",6314,3240,6935,2011
"65",6321,7885,19990,2011
"66",6322,10945,29655,2011
"67",6323,6770,20870,2011
"68",6324,2920,7760,2011
"69",6411,13125,21070,2011
"70",6412,23000,34560,2011
"71",6421,19255,37290,2011
"72",6422,20695,34985,2011
"73",6431,14020,29970,2011
"74",6432,10155,25405,2011
"75",6511,13930,22375,2011
"76",6512,20690,30635,2011
"77",6521,15460,20980,2011
"78",6522,11280,19115,2011
"79",6523,14510,22875,2011
"80",6524,11230,19895,2011
"81",6531,19945,43470,2011
"82",6532,10705,20655,2011
"83",6533,10150,26185,2011
"84",7111,5880,8225,2011
"85",7121,6020,9245,2011
"86",7131,8710,11155,2011
"87",7151,3745,4910,2011
"88",7152,4885,7505,2011
"89",8111,6110,9015,2011
"90",8121,6985,10150,2011
"91",8131,11565,17985,2011
"92",8141,11995,18375,2011
"93",8151,3850,5655,2011
"94",8152,920,1375,2011
"95",9111,960,1390,2011
"96",9121,1640,2385,2011
"97",9122,1795,2735,2011
"98",9123,9465,13695,2011
"99",9131,2255,3250,2011
"100",9141,7040,10525,2011
"101",9151,1875,2555,2011
"102",9161,1385,1770,2011
"103",9171,130,150,2011
"104",10011,380,590,2011
"105",10012,460,625,2011
"106",10013,680,915,2011
"107",10014,2705,3900,2011
"108",11111,4380,6605,2011
"109",11112,5405,7840,2011
"110",11121,3380,5240,2011
"111",11131,760,1130,2011
"112",11132,4795,6870,2011
"113",11133,230,350,2011
"114",11141,5005,7555,2011
"115",11211,3900,5385,2011
"116",12111,8605,12115,2011
"117",12112,26590,35675,2011
"118",12113,15150,24020,2011
"119",12114,10230,14540,2011
"120",12115,8275,11740,2011
"121",12121,12555,19485,2011
"122",12131,5445,7885,2011
"123",12132,14490,21795,2011
"124",12141,4975,7365,2011
"125",12151,6515,10250,2011
"126",12152,5425,8105,2011
"127",13111,37860,48115,2011
"128",13112,16415,21495,2011
"129",13113,23370,37580,2011
"130",13114,30060,43550,2011
"131",14111,14525,22170,2011
"132",14112,13810,19565,2011
"133",14113,17815,28240,2011
"134",14114,12155,17490,2011
"135",14121,43125,55175,2011
"136",14122,35255,47835,2011
"137",15111,10470,16000,2011
"138",15121,13145,20860,2011
"139",15131,12115,19535,2011
"140",15141,9295,14160,2011
"141",15151,30535,41885,2011
"142",15161,38045,56655,2011
"143",15171,43570,58055,2011
"144",16111,33900,50865,2011
"145",16112,22830,31510,2011
"146",16121,18325,24965,2011
"147",16122,32025,47675,2011
"148",16211,16230,30645,2011
"149",16212,18495,30025,2011
"150",16213,34200,44150,2011
"151",16221,32245,42450,2011
"152",16222,23650,36585,2011
"153",16223,4425,6420,2011
"154",16231,15020,23260,2011
"155",16311,40470,53290,2011
"156",16321,15815,25120,2011
"157",16331,6195,9010,2011
"158",16341,19890,26700,2011
"159",16342,29150,37735,2011
"160",16343,7530,10240,2011
"161",17011,1300,1605,2011
"162",17012,1105,1525,2011
"163",18011,3070,3570,2011
