"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"1","1111","Total","10635","Male",2011
"2","1121","Total","16860","Male",2011
"3","1131","Total","10295","Male",2011
"4","1141","Total","4525","Male",2011
"5","1151","Total","26590","Male",2011
"6","1161","Total","9435","Male",2011
"7","1171","Total","10805","Male",2011
"8","1181","Total","9235","Male",2011
"9","2111","Total","15735","Male",2011
"10","2121","Total","13115","Male",2011
"11","2131","Total","25865","Male",2011
"12","2141","Total","31280","Male",2011
"13","2151","Total","36775","Male",2011
"14","2161","Total","11185","Male",2011
"15","3111","Total","24795","Male",2011
"16","3121","Total","29930","Male",2011
"17","3122","Total","22755","Male",2011
"18","3123","Total","36550","Male",2011
"19","3124","Total","16180","Male",2011
"20","3125","Total","13475","Male",2011
"21","3126","Total","28205","Male",2011
"22","3131","Total","45005","Male",2011
"23","3132","Total","50160","Male",2011
"24","3133","Total","40330","Male",2011
"25","3134","Total","16540","Male",2011
"26","3141","Total","6615","Male",2011
"27","3142","Total","8045","Male",2011
"28","4111","Total","7740","Male",2011
"29","4121","Total","6475","Male",2011
"30","4122","Total","6350","Male",2011
"31","4131","Total","11790","Male",2011
"32","4141","Total","31175","Male",2011
"33","4151","Total","42165","Male",2011
"34","4152","Total","23170","Male",2011
"35","4161","Total","11275","Male",2011
"36","4162","Total","10130","Male",2011
"37","4171","Total","49015","Male",2011
"38","4181","Total","34280","Male",2011
"39","4182","Total","11750","Male",2011
"40","5111","Total","25795","Male",2011
"41","5121","Total","47130","Male",2011
"42","5131","Total","23970","Male",2011
"43","5141","Total","9480","Male",2011
"44","5151","Total","74770","Male",2011
"45","5161","Total","15070","Male",2011
"46","5171","Total","7415","Male",2011
"47","5181","Total","11320","Male",2011
"48","5191","Total","11260","Male",2011
"49","6111","Total","39180","Male",2011
"50","6112","Total","41835","Male",2011
"51","6113","Total","24265","Male",2011
"52","6121","Total","28565","Male",2011
"53","6122","Total","34985","Male",2011
"54","6211","Total","23070","Male",2011
"55","6212","Total","34020","Male",2011
"56","6221","Total","15135","Male",2011
"57","6222","Total","21040","Male",2011
"58","6223","Total","15535","Male",2011
"59","6224","Total","25040","Male",2011
"60","6225","Total","29350","Male",2011
"61","6311","Total","13295","Male",2011
"62","6312","Total","14570","Male",2011
"63","6313","Total","31595","Male",2011
"64","6314","Total","6920","Male",2011
