"","Household_type.CLSC_code","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1111,5985,9150,2016
"2",1121,9640,15155,2016
"3",1131,5745,8825,2016
"4",1141,2510,4065,2016
"5",1151,15815,26110,2016
"6",1161,5070,8205,2016
"7",1171,6170,10180,2016
"8",1181,5115,8140,2016
"9",2111,8925,13730,2016
"10",2121,7410,11120,4032
"11",2131,15120,22595,34272
"12",2141,19475,29915,40320
"13",2151,22535,35440,46368
"14",2161,6755,10015,20160
"15",3111,15460,23140,2016
"16",3121,18665,25330,32256
"17",3122,14215,23675,64512
"18",3123,19320,37335,42336
"19",3124,7780,21315,22176
"20",3125,5340,15430,34272
"21",3126,13250,31935,40320
"22",3131,31430,42775,50400
"23",3132,30900,47200,60480
"24",3133,25095,38485,36288
"25",3134,10440,14890,4032
"26",3141,3705,5780,2016
"27",3142,4580,6980,2016
"28",4111,4015,6375,2016
"29",4121,3725,6015,2016
"30",4122,3775,5835,18144
"31",4131,6560,10690,24192
"32",4141,17980,30680,12096
"33",4151,24195,42990,46368
"34",4152,13560,22010,20160
"35",4161,6555,10085,2016
"36",4162,5830,9040,2016
"37",4171,28550,45335,2016
"38",4181,20145,31450,2016
"39",4182,6645,10270,2016
"40",5111,15260,23465,44352
"41",5121,28340,43940,6048
"42",5131,14955,22915,2016
"43",5141,5305,7815,2016
"44",5151,42245,73505,2016
"45",5161,8925,13015,2016
"46",5171,4040,6475,2016
"47",5181,6475,9580,2016
"48",5191,6305,9560,2016
"49",6111,22360,29355,12096
"50",6112,23695,32320,36288
"51",6113,13395,17210,2016
"52",6121,16130,28295,26208
"53",6122,19970,33280,38304
"54",6211,12895,20740,8064
"55",6212,18050,32835,38304
"56",6221,6490,12055,12096
"57",6222,11675,17240,20160
"58",6223,8205,14370,42336
"59",6224,11020,24190,60480
"60",6225,11920,33170,26208
"61",6311,9080,20850,34272
"62",6312,7645,14750,18144
"63",6313,17665,33990,40320
"64",6314,3570,7600,12096
"65",6321,8230,20145,36288
"66",6322,11635,29695,56448
"67",6323,7235,21820,44352
"68",6324,3195,8580,16128
"69",6411,13880,22365,40320
"70",6412,24415,35980,36288
"71",6421,19620,38040,42336
"72",6422,20450,35030,36288
"73",6431,14420,30945,54432
"74",6432,10790,26165,52416
"75",6511,13915,22800,28224
"76",6512,20780,30935,40320
"77",6521,15760,21200,24192
"78",6522,11160,18800,18144
"79",6523,14380,22980,24192
"80",6524,11710,20645,22176
"81",6531,20515,44390,48384
"82",6532,10665,20485,20160
"83",6533,10605,27095,42336
"84",7111,5885,8455,4032
"85",7121,5900,9390,2016
"86",7131,10885,13975,22176
"87",7141,18010,25070,22176
"88",7142,16760,33420,34272
"89",7143,33325,49465,50400
"90",7151,11325,15880,28224
"91",7152,4835,7495,34272
"92",8111,5925,9025,2016
"93",8121,7060,10530,2016
"94",8131,11875,18850,2016
"95",8141,12070,19040,2016
"96",8151,3635,5675,46368
"97",8152,945,1460,6048
"98",9111,890,1335,16128
"99",9121,1605,2405,10080
"100",9122,1625,2565,10080
"101",9123,9070,13740,2016
"102",9131,2205,3285,10080
"103",9141,7855,11980,88704
"104",9151,1880,2675,24192
"105",9161,1375,1790,14112
"106",9171,140,160,4032
"107",10011,365,560,2016
"108",10012,445,620,2016
"109",10013,695,940,4032
"110",10014,2660,3920,4032
"111",11111,4135,6570,2016
"112",11112,5275,7900,2016
"113",11121,3145,5125,18144
"114",11131,700,1060,8064
"115",11132,4550,6825,10080
"116",11133,185,315,2016
"117",11141,4770,7600,20160
"118",11211,3835,5535,2016
"119",12111,9210,13350,2016
"120",12112,27930,38255,44352
"121",12113,15460,25070,28224
"122",12114,10720,15625,2016
"123",12115,8615,12240,20160
"124",12121,12195,19670,2016
"125",12131,5375,8005,2016
"126",12132,14640,22860,2016
"127",12141,4795,7320,2016
"128",12151,6425,10420,2016
"129",12152,5170,8025,2016
"130",13111,39155,50020,68544
"131",13112,17045,22655,36288
"132",13113,23705,38040,36288
"133",13114,34415,49630,90720
"134",14111,14645,23140,2016
"135",14112,15045,21610,2016
"136",14113,18305,29705,2016
"137",14114,12270,18225,2016
"138",14121,45400,59700,2016
"139",14122,36290,49770,2016
"140",15111,10370,16475,2016
"141",15121,13225,21970,2016
"142",15131,12485,20700,2016
"143",15141,9330,14790,2016
"144",15151,33550,47015,12096
"145",15161,45040,67375,12096
"146",15171,44295,60760,2016
"147",16111,35265,52865,14112
"148",16112,23955,33890,34272
"149",16121,19845,27410,16128
"150",16122,32700,49530,26208
"151",16211,16190,30930,34272
"152",16212,18910,30925,28224
"153",16213,35180,46825,4032
"154",16221,33065,44335,24192
"155",16222,23855,38015,2016
"156",16223,4445,6635,2016
"157",16231,14785,23790,2016
"158",16311,42865,57515,2016
"159",16321,16085,26065,10080
"160",16331,6450,9665,2016
"161",16341,20840,28440,14112
"162",16342,30635,40635,14112
"163",16343,7920,11205,2016
"164",17011,1440,1800,28224
"165",17012,1280,1830,30240
"166",18011,3385,4010,36288
